d,n,theta,disk,coherent_LER,pauli_LER,ratio
3,9,0.2,9,0.05656914855286112,0.022366666666666667,2.529172066446846
3,9,0.3,9,0.20472301135306736,0.09165,2.2337480780476526
3,9,0.4,9,0.3768423909698198,0.204525,1.8425248305577302
3,9,0.5,9,0.4957485738076483,0.32629166666666665,1.5193418173136968
