d,Ld,p_local,q,b_fixed,b_span,pL_fixed,pL_span
3,4.0,1.75e-05,0.007174142096186609,0.33325,0.16421666666666668,0.002408157306067504,0.0011954881537420943
5,8.0,0.0,0.019801326693244747,0.04290833333333333,0.14960833333333334,0.0008496419261959767,0.0029624434843651916
7,12.0,0.0,0.038441621761730604,0.0006916666666666667,0.126625,2.6588788385197004e-05,0.0048676703555791375
9,16.0,0.0,0.06274510438732228,0.0,0.10895,0.0,0.006836079122998763
11,20.0,0.0,0.09226246451317044,0.0,0.09669166666666666,0.0,0.008921011464552637
13,24.0,0.0,0.1264588140211499,0.0,0.086125,0.0,0.010891265357571534
15,28.0,0.0,0.164729788588728,0.0,0.07793333333333333,0.0,0.012837941524014868
