d,theta,coh_shots,pauli_shots,coherent_LER,coherent_SE,pauli_LER,pauli_SE,ratio,ratio_SE
5,0.2,300,120000,0.04394153367887326,0.00786512187632633,0.012808333333333333,0.00032460591402698794,3.4306987908033775,0.6201876317950279
5,0.3,300,120000,0.20407720080157618,0.016575773941348255,0.08796666666666667,0.000817661972854218,2.319937864360472,0.18966232522089063
5,0.4,300,120000,0.394085597192656,0.019311395149472967,0.24201666666666666,0.001236408103210742,1.6283407362825812,0.08022612215918187
5,0.5,300,120000,0.510283168512871,0.01771841891730517,0.39065,0.0014084346437919415,1.306241311948985,0.04560009335099244
